,placetitle,types,rate,address,image
23,만계치킨 상대점,"치킨,닭강정",4.21,북구 반룡로42번길 11,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180502_176%2F1525233244771EsWLB_JPEG%2Fzx5hC-TBqHecSyL0n1HvDDPj.jpg
24,이디야 전남대상대점,카페,4.64,북구 설죽로202번길 71,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_132%2F1675068602302YgoXp_JPEG%2FSNS%25B1%25E2%25C5%25B8_SNS_morebetter.jpg
25,나우커피 광주전대상대점,"카페,디저트",,북구 반룡로28번길 31,
26,BIGS COFFEE,테이크아웃커피,4.64,북구 설죽로202번길 84 1층,
27,달콤해샐러드&샌드위치,"카페,디저트",4,북구 용주로30번길 64-1 2층 cafe우리.지금달콤해,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221219_163%2F1671386014604jPhPt_JPEG%2F1000000134.jpg
28,카페 아프리카,"카페,디저트",4.83,북구 설죽로202번길 94,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201130_171%2F1606723452894dJNyV_JPEG%2Frex_0rwYYOLlR3PGtOm-wGzr.jpg
29,어디,"카페,디저트",4.68,북구 설죽로214번길 105 1층 카페어디,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190210_105%2F1549798993601e5UHA_JPEG%2FZLPcDyWGvhPcZKtrjJQPWVmX.jpg
30,마피아떡볶이 광주북구점,분식,4.42,북구 반룡로 18 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190517_267%2F15581051538764m4sd_JPEG%2FrUTeJF2re6g4QI1dRUHK3MQo.jpg
31,잇샌드 전남대점,샌드위치,,북구 설죽로202번길 73 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221102_248%2F1667376537126G81OH_JPEG%2F1667125486992.jpg
32,개대박 용봉점,한식,,북구 운용로 89 1층 개대박 용봉점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230318_234%2F16791194642313TP15_JPEG%2FScreenshot_20230317_135004_Instagram.jpg
33,마미쿡 전대점,햄버거,4.4,북구 설죽로214번길 80,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_189%2F15828674961115pWck_JPEG%2Fx-cfvoW-wv1pdO_3H5Hs3kt3.jpg
34,토마토도시락 용봉점,"도시락,컵밥",4.49,북구 설죽로214번길 88 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_296%2F1517210185011VIf4k_JPEG%2FOgxflurWrnmevkq9yz4Hj8fx.jpg
35,훼이보릿 커피,카페,,북구 설죽로214번길 76 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230314_111%2F1678794134815UET0z_JPEG%2F47FCD9AC-2358-47DB-B6C7-80C10DAF86CF.jpeg
36,고마다커피,"카페,디저트",4.74,북구 설죽로202번길 83 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180612_231%2F15287873844224LYyk_JPEG%2F8HPC0ABSgZaT4vZpBKa_lIzo.JPG.jpg
37,one&two깻잎두마리치킨 용봉신남대점,"치킨,닭강정",4.38,북구 설죽로202번길 79,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201101_122%2F1604177971297jflCq_JPEG%2FZLWAaC3ljoPHPApMch6BgYTy.jpg
38,피자스쿨 광주전대상대점,피자,4.45,북구 반룡로 25 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_99%2F1586015464813Aoipz_JPEG%2F2fjK8subE_QGIzIFz2um3jLh.jpeg.jpg
